X,mergy.workerid,mergy.assignmentid,mergy.bonus
90,A2AU2E2E9A0I1,3JJVG1YBEBY7B5UD0KVPDBEGXBOB5E,1.43
91,A2AXP68AJJ3B94,3VW04L3ZLT7NQRHOBM62URWS9HUXXZ,0.19
92,A2BBDH8DZD77AU,3TAYZSBPLL9ETUSSTNFM5TL4HN1S29,2
93,A2CHDWKAYZ3P3E,352YTHGROVEZ6ZTZM7MBUUB0SQGH49,1.09
94,A2CLM6KR5AP0DK,3RJSC4XJ10V6RIR324Y0TUIX66805W,1.09
95,A2E8EKAN93ZJRY,37TD41K0AHARRCKUQG4SH6UQTEESCI,1.09
96,A2G0HRT8HS9HRZ,34HJIJKLP5X4O0OJRW3F9V2905R4VM,1.22
97,A2HAP8SUY3WYKR,3MTMREQS4VJW5E45Q7I2807NZPVAWL,1.52
98,A2I37S7GQR6X1H,3WAKVUDHUWH1U8H2O4RHGLK0DC57U5,1.09
99,A2LF84L3K71GR2,3IJXV6UZ1XK6306H31092ZNPKHERIU,2
100,A2LT9OPQXI1T4S,3K772S5NP8CHY1QSBDYO3GNR5FAEHC,1.52
101,A2LW2GSGDM72NX,3CPLWGV3MO0SD1LM60DFGMJC0WD9NK,1.43
102,A2NBBQ3DKW5MV3,3ZAK8W07I4FNCXHI356816AD5M1U06,1.52
103,A2OC4PZXSR522W,3JNQLM5FT4NRPHX29EILT779PTT2L5,1.09
104,A2OL8UJ2XQQXU3,33IZTU6J812FUAVPHC0FVJF0UYKSX6,1.09
105,A2OL8UJ2XQQXU3,33IZTU6J812FUAVPHC0FVJF0UYKSX6,1.09
106,A2PH5T3HCCCXIN,3TYCR1GOTCKHVS0EYLRZGIHGA2RZL9,1.09
107,A2QUQ0S2F6K3QJ,32Q90QCQ1SM80RR0HY1LG83JXWEEKG,1.09
108,A2R1TM9CS8OAL,3COPXFW7XBDCXIGQQCHWAK2NB3KKPB,2
109,A2RBVMD2HTBCZ9,3IO1LGZLK9YKSBWK2RLKEF2FLSR68N,2
110,A2RVFMCKSSEHDV,3D8YOU6S9ELIQ83X5UMPA7K4IPNU67,2
111,A2RXH2WQVVTAPY,3W8CV64QJ20035ZB32I2B2MGEIUH95,1.43
112,A2RY4MK1FONYH1,3BF51CHDTVBI7BBY36Z9IRLNBPO0HM,1.52
113,A2S4YDJ9UGAXFQ,3NGI5ARFTT6ARHU4I2BE556O2ZC1PL,0.19
114,A2SVNXNMD7E7EH,3SUWZRL0MYE11C6BFU7K6PY1WYGE6R,2
115,A2U3L0LNJA30QR,3OB0CAO74HQF467JBEAIAJF7NSXHYE,1.43
116,A2V7RTBYCIY1CC,38JBBYETQOBNMP2XW6E59REN0AOE4Q,0.19
117,A2VBIGD3I44K18,338JKRMM260E8O9GV8W27XX0K0CAHD,1.09
118,A2W3A42TRMJ861,3JJVG1YBEBY7B5UD0KVPDBEGXBVB5L,2
119,A2WDF40FA670T9,3LOZAJ85YDEMPBERNXL9412WW3IX23,1.09
120,A2XKVWHXJV0HWZ,3TE3O8573092SFSFEYFHFJG8VNWR22,1.09
121,A2XMFTY9WB05U6,3PZDLQMM0TMYMD3WW1PMQOHMVM52CJ,2
122,A2XMYHTHDZEM4U,33ISQZVXPPNBKVVYTUES21Q87BSCC8,1.22
123,A2XPWASDT8AYXH,3MX2NQ3YC9VEO8XE5GN72858GCTX5M,1.43
124,A2Z43TA0WZ0EG0,3UJ1CZ6IZHQ6SRBFB6HK30OG1XSS5A,1.52
125,A302J4WJ090V4V,3QJOXOW4XJS3QFR32AE1VLVNM19EML,1.22
126,A304JFG8AJM7U6,39ZSFO5CA8XUE3I4PDGEJBP94V8JU3,1.43
